epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3573.12,0.71168,3.49472,0.29137,0.44953,1.11814,0.96738,0.97247,0.98984,0.88689,0.85112,0.79444,0.81489,0.65331,0.57922,2.15359,0.05799,0.29612,0.99871,0.007426,0.007426,0.007426
28,3692.09,0.70311,3.48345,0.29091,0.44484,1.11674,0.97224,0.97272,0.9904,0.89021,0.84146,0.81007,0.81353,0.65977,0.57546,2.1167,0.05852,0.29532,0.99664,0.007327,0.007327,0.007327
29,3812.85,0.70282,3.40261,0.28836,0.44405,1.11289,0.97039,0.97592,0.99034,0.89094,0.84509,0.80068,0.81315,0.66091,0.56726,2.13087,0.05633,0.29305,0.99063,0.007228,0.007228,0.007228
30,3932.15,0.69673,3.34488,0.28791,0.438,1.1102,0.96842,0.97787,0.98997,0.88958,0.84891,0.80366,0.81914,0.66888,0.57151,2.12509,0.05675,0.29306,0.99562,0.007129,0.007129,0.007129
31,4052.2,0.6981,3.33559,0.28817,0.442,1.11362,0.96962,0.97733,0.99072,0.89199,0.84265,0.81096,0.81875,0.67051,0.56513,2.10433,0.05583,0.28514,0.98957,0.00703,0.00703,0.00703
32,4171.49,0.6894,3.30814,0.28404,0.43344,1.10723,0.97251,0.97733,0.99027,0.8927,0.85062,0.81762,0.83229,0.67751,0.56302,2.04295,0.05637,0.28345,0.99076,0.006931,0.006931,0.006931
33,4292.89,0.68698,3.26508,0.28098,0.43591,1.10721,0.97202,0.979,0.99048,0.89304,0.85452,0.81122,0.82361,0.67482,0.55776,2.03949,0.05561,0.28237,0.98483,0.006832,0.006832,0.006832
34,4413.85,0.69252,3.26067,0.28201,0.43628,1.10915,0.97161,0.97735,0.99061,0.89335,0.84983,0.8198,0.826,0.67688,0.55614,2.02328,0.05392,0.28366,0.98205,0.006733,0.006733,0.006733
35,4534.67,0.68405,3.21829,0.27691,0.42827,1.10188,0.97346,0.97784,0.99071,0.89473,0.86369,0.8245,0.84166,0.689,0.55346,1.94319,0.05462,0.2812,0.98115,0.006634,0.006634,0.006634
36,4655.53,0.68321,3.18729,0.274,0.43189,1.10189,0.97372,0.97618,0.99085,0.89753,0.85861,0.81532,0.83676,0.69297,0.55332,1.96968,0.0528,0.27813,0.98192,0.006535,0.006535,0.006535
37,4776.32,0.68634,3.20085,0.27551,0.42872,1.1054,0.97412,0.97853,0.99134,0.90111,0.85299,0.81814,0.83303,0.69346,0.54671,1.98279,0.05331,0.27545,0.97826,0.006436,0.006436,0.006436
